cycle,pulse_id,branch,SOC_start,SOC_end,SOC_mid,I_A,pulse_time_s,relax_time_s,capacity_increment_mAh,delta_V_pulse_mV,delta_V_relax_mV,dE_s_mV,dE_tau_expected_mV,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_r2,u_prime_V_per_soc,u_prime_knots,u_prime_halfwidth_soc,u_prime_window_curvature_mV,Q_th_Ah,R_m,tau_d_s,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_rel_uncertainty,Ds_app_cm2_s_uncertainty,Ds_app_relax_m2_s,Ds_app_relax_cm2_s,relax_over_pulse_sqrt_ratio,accepted,flags
1,11,lithiation,0.09629687899129917,0.10592652545336549,0.10111170222233233,4.41545e-05,1799.9800000000105,9000.0,0.02207700469722235,-67.36695019999998,82.1435675,-41.74831892123628,-11.30021828227368,-0.0009840227805532355,8.533768996116647e-06,0.8843383223794228,-1.1498467357475035,8,0.014444469693099482,26.775240899999996,0.0022464319849470867,1.37e-05,173661.83669370323,1.0807786187994717e-15,1.0807786187994717e-11,0.017344657389575486,1.8745734857055443e-13,5.710974220630858e-14,5.710974220630858e-10,7.269201837353548,False,sqrt(t) fit weak (R2=0.884)
1,12,lithiation,0.10592652545336549,0.11555619372441268,0.11074135958888909,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-67.14900589999999,81.345968,-41.098538581416825,-8.840218030795905,-0.0009687072259809838,7.877960451297456e-06,0.8968515600905259,-0.8995288914731993,8,0.014444502406570789,22.2864971,0.0022464319849470867,1.37e-05,274996.31603770994,6.825182340779513e-16,6.825182340779513e-12,0.016264894572908046,1.1101087121365254e-13,5.779102119926168e-14,5.779102119926168e-10,9.20180562477329,False,sqrt(t) fit weak (R2=0.897)
1,13,lithiation,0.11555619372441268,0.12518581837749812,0.12037100605095541,4.41544e-05,1799.9800000000105,9000.0,0.022076954697777904,-65.4968097,80.12885600000001,-40.541027668219776,-5.760237276443904,-0.0009555664947331473,7.353901935725985e-06,0.9066229534277237,-0.5861307157544929,8,0.014444436979628154,13.636641199999994,0.0022464319849470867,1.37e-05,630244.1605932103,2.978052185732889e-16,2.9780521857328892e-12,0.015391711568496644,4.583732027873163e-14,5.762745522029355e-14,5.762745522029354e-10,13.910686687800426,True,
1,14,lithiation,0.12518581837749812,0.1348154866485453,0.13000065251302173,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-64.86601379999999,79.4884339,-40.714951517902456,-4.160995039384417,-0.0009596659419586071,6.910476247785138e-06,0.9172858049615406,-0.42339852276991424,7,0.014444502406570789,10.046981299999993,0.0022464319849470867,1.37e-05,1218185.7593647707,1.5407338212348822e-16,1.540733821234882e-12,0.014401837026082989,2.2189397393998854e-14,5.6226506558332855e-14,5.622650655833286e-10,19.10322726838906,True,
1,15,lithiation,0.1348154866485453,0.1444451549195925,0.1396303207840689,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-65.3188899,77.9889002,-40.223998153029875,-3.315427004460297,-0.0009480939958849141,6.5777202019601665e-06,0.9227609721392508,-0.33735846420226534,7,0.014444502406570789,7.867857800000003,0.0022464319849470867,1.37e-05,1872800.865853222,1.0021887720267099e-16,1.0021887720267099e-12,0.013875671042132859,1.3906041722761708e-14,5.545442209010288e-14,5.545442209010287e-10,23.523033411708443,True,
1,16,lithiation,0.1444451549195925,0.1540748231906397,0.14925998905511612,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-63.399039200000004,75.0758275,-39.28037938883762,-2.858940342996824,-0.0009258525647538909,6.1470762696186265e-06,0.9288007110347418,-0.29090905094932434,6,0.014444502406570789,6.702691300000008,0.0022464319849470867,1.37e-05,2401824.285032999,7.814476736270543e-17,7.814476736270543e-13,0.013278736817568,1.0376637994794428e-14,5.3887740231516963e-14,5.388774023151697e-10,26.260018920612847,True,
1,17,lithiation,0.1540748231906397,0.163704469652706,0.15888964642167286,4.41545e-05,1799.9800000000105,9000.0,0.02207700469722235,-60.251749999999994,71.02865720000001,-37.074298176053595,-2.7937094417023354,-0.0008738544430277069,5.771740298818282e-06,0.9294856303519372,-0.2842721796982905,6,0.01444446969309944,7.065132299999998,0.0022464319849470867,1.37e-05,2240698.772636335,8.376404820321739e-17,8.376404820321738e-13,0.01320984368705734,1.106509983359638e-14,5.414550339250958e-14,5.414550339250958e-10,25.42449695724942,True,
1,18,lithiation,0.163704469652706,0.1733341161147723,0.16851929288373915,4.41545e-05,1799.9800000000105,9000.0,0.02207700469722235,-58.074764900000005,66.7717382,-34.54872104799156,-2.864112694010566,-0.0008143256885227422,5.3840152708903275e-06,0.9293525678515785,-0.29143601917735745,7,0.014444469693099482,7.403865400000001,0.0022464319849470867,1.37e-05,1851329.9032260787,1.0138117451294679e-16,1.013811745129468e-12,0.013223248011879378,1.3405884143203199e-14,5.510138026492799e-14,5.510138026492799e-10,23.313237059293478,True,
1,19,lithiation,0.1733341161147723,0.18296374076785774,0.17814892844131502,4.41544e-05,1799.9800000000105,9000.0,0.022076954697777904,-54.312229200000004,63.40727209999999,-31.655546740459922,-2.9506076388250286,-0.0007461325372705057,5.085278781766805e-06,0.9252587498657485,-0.3002379388654044,7,0.014444436979628134,7.681816799999991,0.0022464319849470867,1.37e-05,1464457.5361447935,1.2816349765531388e-16,1.2816349765531387e-12,0.013631033436417929,1.7470009218678543e-14,5.918607839524883e-14,5.918607839524883e-10,21.489564137795572,True,
1,20,lithiation,0.18296374076785774,0.19259340903890493,0.18777857490338135,4.41546e-05,1799.9800000000105,9000.0,0.022077054696666792,-51.0159433,60.57128310000001,-28.90739223444625,-3.040017564788062,-0.0006813575545101363,4.763812910719376e-06,0.921652352422835,-0.3093344101453864,7,0.014444502406570789,7.891565500000003,0.0022464319849470867,1.37e-05,1150444.6138175842,1.6314562017651404e-16,1.6314562017651404e-12,0.013983298135277392,2.2813138463929224e-14,6.476744730816919e-14,6.476744730816919e-10,19.924649055184915,True,
