branch,SOC,n_pulses,Ds_app_m2_s,Ds_app_cm2_s,Ds_app_cm2_s_p25,Ds_app_cm2_s_p75,Ds_app_rel_uncertainty_median,Ds_app_cm2_s_uncertainty,SOC_lo,SOC_hi
delithiation,0.4,10,2.5292279173847544e-15,2.5292279173847542e-11,2.43900061396905e-11,2.763971379978428e-11,0.009482281089704184,2.460704898996324e-13,0.39181285457957077,0.4085247314054864
delithiation,0.42,8,2.5664982627100438e-15,2.566498262710044e-11,2.1711172140707933e-11,3.0774117418841713e-11,0.013116605999492412,3.5455126458516204e-13,0.4119180805054062,0.42703396365388047
delithiation,0.44,2,1.1958859012438165e-15,1.1958859012438165e-11,1.1887718613870468e-11,1.202999941100586e-11,0.014330230629748324,1.712416723363644e-13,0.4366636428294179,0.4462933001959744
delithiation,0.54,3,7.32217320854287e-17,7.32217320854287e-13,4.661267164702008e-13,8.845943887518432e-13,0.014854471115172456,1.1190596639154362e-14,0.5426024189962225,0.5496016209080941
delithiation,0.56,8,4.4451185919366515e-18,4.4451185919366517e-14,3.825735798964839e-14,1.444301228520405e-13,0.004687769240346374,2.0783547837215443e-16,0.5500751990412578,0.5698441864802593
delithiation,0.58,9,5.2440871425466455e-18,5.244087142546645e-14,4.0872374087795955e-14,6.32651856947971e-14,0.0028792967379464565,1.4764716991161737e-16,0.5702966584344188,0.5830736707862072
delithiation,0.6,11,1.2226464503793353e-17,1.2226464503793352e-13,1.0030502226935353e-13,1.7540412162137188e-13,0.0022335354823271804,3.0038068469104676e-16,0.5900867520524246,0.6099982823597291
delithiation,0.62,10,4.462842359301508e-17,4.462842359301508e-13,3.273222511062525e-13,5.65207004186313e-13,0.0015614350050567013,6.42930739692916e-16,0.6103293749303964,0.6292576516152945
delithiation,0.64,10,1.684337668531047e-16,1.6843376685310469e-12,1.1442764179681792e-12,1.9476287444040855e-12,0.002361657958949092,3.618069337623558e-15,0.6305720321918522,0.6485170099663694
delithiation,0.66,10,4.473952436087204e-16,4.473952436087205e-12,3.5763955611292154e-12,5.341691772488331e-12,0.0044942640902467315,2.052626641608223e-14,0.6508145175358884,0.6677763137949921
delithiation,0.68,10,7.434039552168227e-16,7.434039552168227e-12,6.408210212941194e-12,8.556344307343736e-12,0.006261632246331799,4.751441338697753e-14,0.671056945574118,0.6870355849101436
delithiation,0.7000000000000001,10,8.695963019020545e-16,8.695963019020545e-12,8.094028605296848e-12,9.676078725540667e-12,0.008313696588715523,7.394194655956128e-14,0.691299648680219,0.7062948887387663
delithiation,0.72,10,8.323204771327529e-16,8.323204771327529e-12,7.424726514683679e-12,9.257497298762985e-12,0.010334899666210508,8.464173066266069e-14,0.7115424893202558,0.7255542252808603
delithiation,0.74,10,6.149644153595639e-16,6.1496441535956394e-12,5.5141106661490085e-12,7.570019207000172e-12,0.0124570854669509,7.843909471591479e-14,0.7317852038875181,0.7448135400139736
delithiation,0.76,10,4.758978421351172e-16,4.758978421351172e-12,3.947486358769567e-12,5.151939338614849e-12,0.014214257917406038,6.665081083593899e-14,0.7520278955324579,0.7640728983650485
delithiation,0.78,8,3.656112900043894e-16,3.656112900043894e-12,3.28090906356836e-12,4.3048301143294465e-12,0.014959071135238613,5.2629463233498184e-14,0.7722706215608814,0.7840020368805103
delithiation,0.8,6,2.88687275450321e-16,2.88687275450321e-12,2.650949593652369e-12,3.2911466812218242e-12,0.015568250334351807,4.473711028268504e-14,0.7925133475893051,0.8040947949927387
delithiation,0.8200000000000001,1,1.8218279903662336e-16,1.8218279903662335e-12,1.8218279903662335e-12,1.8218279903662335e-12,0.015730118483186728,2.865757014444682e-14,0.8127559475449544,0.8127559475449544
delithiation,0.84,2,8.855665066362688e-17,8.855665066362688e-13,8.010709783792655e-13,9.700620348932721e-13,0.015900445247295822,1.4079678187455272e-14,0.8329986621122167,0.8431200480487511
delithiation,0.86,4,2.0329006509616123e-17,2.0329006509616123e-13,1.8776696376203112e-13,2.809741757406464e-13,0.015304566136304189,3.0593871291597297e-15,0.8532414454464469,0.8643732854811395
delithiation,0.88,6,4.728244351645024e-18,4.7282443516450237e-14,3.678075778135767e-14,5.611633402194763e-14,0.015096861279072924,7.108222403181268e-16,0.8734841370913866,0.8844661346046164
delithiation,0.98,5,7.630653210921434e-16,7.630653210921433e-12,7.2362019924787615e-12,7.698562797506009e-12,0.0009938118146330254,7.460308360571454e-15,0.9848181675101665,0.9855555303069008
delithiation,1.0,5,1.0929168583375383e-15,1.0929168583375383e-11,1.0345116264689529e-11,1.2510704381218701e-11,0.006096957874484348,6.663468045597749e-14,0.9949393815292813,0.9951851767689669
lithiation,0.06,5,1.4460915263858505e-13,1.4460915263858505e-09,1.3218050913424972e-09,1.6708412571648072e-09,0.013762252033261462,1.9901476049285844e-11,0.06259304004263427,0.06578852148811816
lithiation,0.08,5,2.7694091096163617e-13,2.7694091096163617e-09,1.1701001775865715e-11,3.029092026662965e-09,0.014074874068578443,4.263408881741628e-11,0.0722227410271527,0.08603117874957393
lithiation,0.1,8,2.384787707055121e-14,2.384787707055121e-10,2.0970558615050196e-10,7.838773646237607e-10,0.011954621581594969,2.3441936652856887e-12,0.09148205576026605,0.10627384747219101
lithiation,0.12,9,1.984050655484788e-15,1.984050655484788e-11,1.9058151926880707e-11,5.835157478651598e-11,0.00550782282136853,9.03518558850295e-14,0.1155338881481957,0.12651647035016286
lithiation,0.14,11,8.443635449356272e-16,8.443635449356271e-12,4.504012475247085e-12,9.680474856930132e-12,0.0026624443953143398,2.2189397393998854e-14,0.13000065251302173,0.14925998905511612
lithiation,0.16,10,8.289233960449477e-16,8.289233960449477e-12,7.56282586026807e-12,8.904774108142221e-12,0.002904732216956491,2.2761896136159767e-14,0.15571979117045887,0.16851929288373915
