dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,parameter,delta,time_s,residual_mV,response_mV_per_unit,abs_current_A,progress_fraction,valid,response_rms_mV,cosine_alignment,projection_fraction
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7843.35151939432,296.30217283172476,2.7591725720699234,1.0002334117889404,0.7323246108259271,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7849.429596465339,296.7885473657699,2.759584320533026,1.0002334117889404,0.7328921138142348,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7854.4764022374,296.72083762999614,2.75844805808223,1.000052809715271,0.7333633282005593,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7859.523270469879,296.78571182154377,2.758122083692527,1.0002334117889404,0.7338345484187404,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7864.57029699628,297.0844012952192,2.7572909409989688,1.0002334117889404,0.734305783416641,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7870.648263717696,297.1962566769939,2.7558706823216372,1.000052809715271,0.7348732761017345,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7875.69500467346,160.2659467038947,-5.428037789285689,1.99986732006073,0.7353444844362367,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7880.741890770401,242.33757027339342,5.196197250256773e-05,1.9243103452026844e-05,0.7358157063224019,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7886.788690849829,246.13578096936982,5.179048301329203e-05,1.9243103452026844e-05,0.7363802890143747,True,2.99862487135529,0.6303439293527081,0.39733346927181185
calce_20r,2,DST_80SOC,calce_20r/2/DST_80SOC,20R DST80,DST,B,j0p,0.2,7891.835451128674,246.7617785213001,5.166133187906041e-05,1.9243103452026844e-05,0.7368514991530506,True,2.99862487135529,0.6303439293527081,0.39733346927181185
