baseline,model,direction,bin_lo,bin_hi,n,mean_resid_mV,sd_resid_mV
D0B,DFN,charge,0.1,0.2,1916,-3.6228080707771455,0.3562197003216677
D0B,DFN,charge,0.2,0.3,1916,-4.365344253084787,0.22020811444019991
D0B,DFN,charge,0.3,0.4,1916,-4.36142144361699,0.12462379505743297
D0B,DFN,charge,0.4,0.5,1916,-4.652769566558182,0.15809520735849733
D0B,DFN,charge,0.5,0.6,1916,-5.217649042200572,0.1854796708954402
D0B,DFN,charge,0.6,0.7,1916,-5.27586989570878,0.024842311052041797
D0B,DFN,charge,0.7,0.8,1916,-5.357606686558585,0.17712809180239436
D0B,DFN,charge,0.8,0.9,1916,-6.668312742829833,0.7664364392563738
D0B,DFN,charge,0.9,1.0,1917,-21.862642369391153,21.93234089851125
D0B,DFN,charge,0.0,0.1,1929,-131.3966279629018,173.86260729219694
D0B,DFN,charge,0.1,0.2,1929,3.8953880429333476,0.46495817910305975
D0B,DFN,charge,0.2,0.3,1929,3.998302616187755,0.1998452922498677
D0B,DFN,charge,0.3,0.4,1930,3.615050804501836,0.3011175783604702
D0B,DFN,charge,0.4,0.5,1929,2.5681368228640626,0.2828456257594066
D0B,DFN,charge,0.5,0.6,1929,1.6518226318405613,0.2793780206532366
D0B,DFN,charge,0.6,0.7,1929,1.4006431716072107,0.08039557288485787
D0B,DFN,charge,0.7,0.8,1930,1.5246691844061888,0.06784138201587314
D0B,DFN,charge,0.8,0.9,1929,1.0882391527701065,0.13291085480988188
D0B,DFN,charge,0.9,1.0,1930,-6.905732039284957,22.59388639208654
D0B,DFN,charge,0.0,0.1,1931,-186.52245331399183,211.16627716260575
D0B,DFN,charge,0.1,0.2,1932,4.329265702764074,0.47656948304747715
D0B,DFN,charge,0.2,0.3,1932,4.427839009366568,0.23202514691239023
D0B,DFN,charge,0.3,0.4,1932,3.6257815346662756,0.30495154067270774
D0B,DFN,charge,0.4,0.5,1932,2.596757668766958,0.35627348141071186
D0B,DFN,charge,0.5,0.6,1932,1.4751354591008856,0.3291877749029805
D0B,DFN,charge,0.6,0.7,1932,0.9801467988884484,0.08807203013742052
D0B,DFN,charge,0.7,0.8,1932,0.990194799409623,0.07491930596875013
D0B,DFN,charge,0.8,0.9,1932,0.4783622392806684,0.15014253635537675
D0B,DFN,charge,0.9,1.0,1931,-8.237534838037403,22.47827974854069
D0B,DFN,charge,0.0,0.1,1932,-185.08213409289354,209.50059014907703
D0B,DFN,charge,0.1,0.2,1932,4.829950551932649,0.5340881783230269
D0B,DFN,charge,0.2,0.3,1932,4.818437696117162,0.2928549652543433
D0B,DFN,charge,0.3,0.4,1932,3.8696255284298626,0.3138858780629068
D0B,DFN,charge,0.4,0.5,1933,2.688212262561944,0.33097752280209103
