cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,ir_skip_s,n_fit_samples
2,77,lithiation,4,0.7684135792620453,0.7785243261325108,4.41546e-05,1799.9799999999814,9000.0,-0.01355260609999999,0.017912596399999994,0.02207705469666644,3043037.651,0.0830031857,0.0694505796,1801,90811,3,8999.970000000205,0.087363176,-0.0001424123480574079,3.51343247024815e-07,0.07530263311599872,0.9895264259881762,60.0,1741
2,78,lithiation,4,0.7785243261325108,0.788635050104463,4.41545e-05,1799.9799999999814,9000.0,-0.01320718970000001,0.017798446100000004,0.022077004697221993,3053837.651,0.0826889053,0.0694817156,1801,90811,3,8999.970000000205,0.0872801617,-0.00014246591578477092,3.062057827381171e-07,0.0753828610871119,0.9920305298575094,60.0,1741
2,79,lithiation,4,0.788635050104463,0.7987457511779021,4.41544e-05,1799.9799999999814,9000.0,-0.013313919300000004,0.017991907900000007,0.022076954697777547,3064637.651,0.0825406536,0.0692267343,1801,90811,3,8999.970000000205,0.0872186422,-0.00014709878079688607,2.6565712592247077e-07,0.07535572051480356,0.9943601431169119,60.0,1741
2,80,lithiation,4,0.7987457511779021,0.8088564751498544,4.41545e-05,1799.9799999999814,9000.0,-0.013524435400000007,0.018360301800000006,0.022077004697221993,3075437.651,0.0822901204,0.068765685,1801,90811,3,8999.970000000205,0.0871259868,-0.00015212898001192127,2.2920865030994926e-07,0.07516320612235021,0.9960678813041011,60.0,1741
2,81,lithiation,4,0.8088564751498544,0.8189672220203197,4.41546e-05,1799.9799999999814,9000.0,-0.013811290200000007,0.018819115999999997,0.02207705469666644,3086237.651,0.0820373669,0.0682260767,1801,90811,3,8999.970000000205,0.0870451927,-0.00015717152275308643,2.0264677147566182e-07,0.07485841471343926,0.9971174453283003,60.0,1741
2,82,lithiation,4,0.8189672220203197,0.8290779459922719,4.41545e-05,1799.9799999999814,9000.0,-0.014287151400000003,0.019470654399999995,0.022077004697221993,3097037.651,0.0817275271,0.0674403757,1801,90811,3,8999.970000000205,0.0869110301,-0.00016623479069960642,1.768624213934287e-07,0.07448906193451697,0.9980354059621621,60.0,1741
2,83,lithiation,4,0.8290779459922719,0.8391886928627372,4.41546e-05,1799.9799999999814,9000.0,-0.014579199299999998,0.020337894600000003,0.02207705469666644,3107837.651,0.0810263306,0.0664471313,1801,90811,3,8999.970000000205,0.0867850259,-0.0001737145517318935,1.8086844343670747e-07,0.07381929450454847,0.9981183673874325,60.0,1741
2,84,lithiation,4,0.8391886928627372,0.8492995084287419,4.41549e-05,1799.9799999999814,9000.0,-0.015101023000000005,0.02114138,0.022077204694999773,3118637.651,0.0805823356,0.0654813126,1801,90811,3,8999.970000000205,0.0866226926,-0.0001805973486897982,1.8223606194282642e-07,0.07320567388345822,0.9982324278132112,60.0,1741
2,85,lithiation,4,0.8492995084287419,0.8594102781977204,4.41547e-05,1799.9799999999814,9000.0,-0.015266314200000006,0.021815896,0.02207710469611088,3129437.651,0.0798722357,0.0646059215,1801,90811,3,8999.970000000205,0.0864218175,-0.00018889434145558944,1.835193218337628e-07,0.07270129530445454,0.9983612489144527,60.0,1741
2,86,lithiation,4,0.8594102781977204,0.8695210479666989,4.41547e-05,1799.9799999999814,9000.0,-0.015418998900000008,0.0220856965,0.02207710469611088,3140237.651,0.0795638859,0.064144887,1801,90811,3,8999.970000000205,0.0862305835,-0.00019277063614187823,2.1623727186098748e-07,0.07245884435564882,0.9978166183268767,60.0,1741
2,87,lithiation,4,0.8695210479666989,0.8796318406341904,4.41548e-05,1799.9799999999814,9000.0,-0.015803694699999996,0.02265941349999999,0.022077154695555327,3151037.651,0.0792029053,0.0633992106,1801,90811,3,8999.970000000205,0.0860586241,-0.00020302817614619643,2.776820913344581e-07,0.0722150988323749,0.996757557853622,60.0,1741
2,88,lithiation,4,0.8796318406341904,0.8897426104031689,4.41547e-05,1799.9799999999814,9000.0,-0.0165797658,0.023626703800000003,0.02207710469611088,3161837.651,0.0787604004,0.0621806346,1801,90811,3,8999.970000000205,0.0858073384,-0.00021782290334820462,3.421154929816151e-07,0.07167660867445966,0.995728514609236,60.0,1741
