branch,SOC,n_pulses,n_valid,valid_fraction,Ds_median_m2_s,Ds_p05_m2_s,Ds_p95_m2_s,Ds_decades_spanned,WH_fit_R2_median,OCP_slope_median_V_per_soc,Fo_pulse_median
lithiation,0.62,10,4,0.4,2.5322093875720894e-16,1.4828984174287955e-16,4.167727865781641e-16,0.4487879520109324,0.9041245202964564,-0.040821408051448654,0.002428433189537611
lithiation,0.64,10,8,0.8,5.2574968004035147e-17,2.0680592517500733e-17,9.890864778363374e-17,0.6796712869783093,0.9164611129945481,-0.019537429319666802,0.0005042031589743758
lithiation,0.66,11,10,0.9090909090909091,5.222924098175511e-18,2.1156170174382167e-18,1.3707143986975783e-17,0.811509923148936,0.9369004739893827,-0.00802449613792915,5.008875762286371e-05
lithiation,0.68,10,10,1.0,3.421074958072401e-18,1.202596867489911e-18,4.917056017754356e-18,0.6115850877695098,0.9504534662808699,-0.0062666682479194,3.280870852486099e-05
lithiation,0.7000000000000001,10,10,1.0,4.906988308605249e-18,2.2159847725615703e-18,8.251263812796191e-18,0.5709537010252151,0.9628464117530597,-0.0081788444584085,4.705887802079616e-05
lithiation,0.72,10,10,1.0,1.0262839954059181e-17,4.573575947698923e-18,1.5660326704562396e-17,0.5345449227650311,0.9741441530058341,-0.01280661731537485,9.842243412280682e-05
lithiation,0.74,10,10,1.0,1.8250102300028223e-17,8.34611549846376e-18,2.5918407519615197e-17,0.492123923629881,0.9832516555090018,-0.01792275336719905,0.00017502168010023424
lithiation,0.76,10,10,1.0,2.77756926991026e-17,1.2965199479244762e-17,3.685880456114364e-17,0.4537620425703104,0.9895827861536399,-0.023586051062201248,0.00026637376175898085
lithiation,0.78,10,10,1.0,3.587804923644962e-17,1.6750108405229808e-17,5.286313931686327e-17,0.4991353283648039,0.9936045588021329,-0.0285992229712339,0.0003440767812064185
lithiation,0.8,10,10,1.0,6.243414616515932e-17,2.771843779531906e-17,9.089655051089162e-17,0.5157786523323312,0.9961294895869692,-0.03958792557802595,0.0005987544057455986
lithiation,0.8200000000000001,10,10,1.0,9.018768086155304e-17,3.7973442239685836e-17,1.2790288115325448e-16,0.5274003604357707,0.998223477599515,-0.048903932823721005,0.0008649156683745462
lithiation,0.84,10,10,1.0,1.363145233517887e-16,5.83060372766023e-17,1.8037280946888177e-16,0.4904575439144384,0.9989855539783131,-0.06418441317822875,0.001307280173385975
lithiation,0.86,10,10,1.0,2.0824804580199518e-16,9.694107203907249e-17,2.880100421515106e-16,0.47289981259629804,0.998427782173274,-0.0864575623790372,0.001997135262841752
lithiation,0.88,10,10,1.0,3.091668421211682e-16,1.5218994204279099e-16,4.1957141148909716e-16,0.44041993717837863,0.9972935044258301,-0.114013475639188,0.002964964209501831
lithiation,0.9,10,10,1.0,4.192875674631322e-16,2.2184631705954187e-16,5.557056339707317e-16,0.39879257660938994,0.995173850304476,-0.1483501810001671,0.004021041268487805
lithiation,0.92,11,11,1.0,4.842473076210391e-16,2.773451643735102e-16,5.766880453022255e-16,0.3179203504350276,0.992127672973953,-0.1869691280540837,0.004644016563332807
lithiation,0.9400000000000001,10,10,1.0,5.057693943348941e-16,3.0772653110105656e-16,5.860938903780975e-16,0.2798022529797054,0.9847954289847163,-0.2597054069502857,0.00485041714750341
lithiation,0.96,9,9,1.0,3.6745836666454765e-16,2.300681781409117e-16,6.088902287423063e-16,0.42268245128347537,0.9789720487910196,-0.327579746117957,0.00352399014773747
lithiation,0.98,10,10,1.0,2.9799151189044576e-16,2.0918084019117088e-16,5.177782279137449e-16,0.3936218817666561,0.9808583597447549,-0.4344551515205636,0.0028577908336751634
lithiation,1.0,6,6,1.0,2.36882393252758e-16,2.1380704641555632e-16,3.274016449054651e-16,0.1850588429248228,0.9903339445265917,-0.5239752908882165,0.0018793628723307344
