cycle,pulse_id,branch,step,SOC_start,SOC_end,I_A,pulse_time_s,relax_time_s,delta_V_pulse_V,delta_V_relax_V,capacity_increment_mAh,t_pulse_start_s,V_pulse_start_V,V_pulse_end_V,n_pulse_samples,n_relax_samples,relax_step,relax_coverage_s,V_relax_end_V,sqrt_t_slope_V_per_sqrt_s,sqrt_t_slope_stderr,sqrt_t_intercept_V,sqrt_t_r2,n_fit_samples,quad_sqrt_t_slope_V_per_sqrt_s,quad_sqrt_t_slope_stderr,quad_t_slope_V_per_s,quad_intercept_V,quad_r2,quad_n_fit_samples,sqrt_t_slope_excess_over_quad,ir_skip_s
3,183,delithiation,10,0.17567846280462485,0.1656256506255379,-4.41541e-05,1799.980000000447,9000.0,0.017378091900000003,-0.009333580800000019,0.022076804699449927,6351417.125,0.2045409679,0.2219190598,1801,90811,9,8999.97000000067,0.212585479,0.0003411734416157902,5.695000242657141e-07,0.20719377380058845,0.9951778872548706,1741,0.00020764542656818044,1.1969049895071994e-06,2.4745534550056067e-06,0.2087753303404302,0.9994232242526796,1741,0.00013352801504760978,60.0
3,184,delithiation,10,0.1656256506255379,0.15557286121401326,-4.4154e-05,1799.980000000447,9000.0,0.010635137500000003,-0.009267538800000003,0.02207675470000548,6362217.125,0.2148099244,0.2254450619,1801,90811,9,8999.97000000067,0.2161775231,0.00011354558464069271,6.370740129326594e-07,0.22093516826259493,0.9480970938271944,1741,0.0002620023957154317,1.3978102898115475e-06,-2.7512152759350545e-06,0.21917678939090068,0.993233779739019,1741,-0.00014845681107473902,60.0
3,185,delithiation,10,0.15557286121401326,0.1455200718024886,-4.4154e-05,1799.980000000447,9000.0,0.008240967999999987,-0.009698182399999977,0.02207675470000548,6373017.125,0.2184493542,0.2266903222,1801,90811,9,8999.97000000067,0.2169921398,4.500371531171011e-05,3.092624852507718e-07,0.22480547562098777,0.9241105741067834,1741,9.055774107774849e-05,1.5181294286577693e-06,-8.442113949605259e-07,0.22426591643304236,0.950479827186291,1741,-4.555402576603838e-05,60.0
3,186,delithiation,10,0.1455200718024886,0.13546728239096384,-4.4154e-05,1799.980000000447,9000.0,0.008666425899999997,-0.010396420999999989,0.02207675470000548,6383817.125,0.2192884386,0.2279548645,1801,90811,9,8999.97000000067,0.2175584435,5.122556655053114e-05,3.6991266179290905e-07,0.22577337112450302,0.9168569386171075,1741,0.00010112649553408044,1.8922183731846764e-06,-9.247686051585543e-07,0.22518232556338777,0.9410874397745643,1741,-4.99009289835493e-05,60.0
3,187,delithiation,10,0.13546728239096384,0.12541449297943918,-4.4154e-05,1799.980000000447,9000.0,0.009881317599999995,-0.011556446499999984,0.02207675470000548,6394617.125,0.2198576927,0.2297390103,1801,90811,9,8999.97000000067,0.2181825638,7.825926525229528e-05,4.795186595771032e-07,0.2263915935303551,0.9387125307783252,1741,0.00013945656560026353,2.5052808251966948e-06,-1.1341139981664045e-06,0.22566674945511594,0.9546986376187536,1741,-6.119730034796825e-05,60.0
3,188,delithiation,10,0.12541449297943918,0.11536168080035225,-4.41541e-05,1799.980000000447,9000.0,0.012414097699999987,-0.013557761899999993,0.022076804699449927,6405417.125,0.2203958333,0.232809931,1801,90811,9,8999.97000000067,0.2192521691,0.00013965452205702317,6.284324105566061e-07,0.22677541742617877,0.9659844980903558,1741,0.00021483889909521694,3.3527753315514624e-06,-1.3933237897373092e-06,0.225884905100677,0.9737815865680736,1741,-7.518437703819377e-05,60.0
3,189,delithiation,10,0.11536168080035214,0.1053088686212652,-4.41541e-05,1799.980000000447,9000.0,0.017690151900000006,-0.016441077,0.022076804699449927,6416217.125,0.2214817107,0.2391718626,1801,90811,9,8999.97000000067,0.2227307856,0.0002866347315512322,7.390607705805413e-07,0.22642448334438778,0.9885709508057678,1741,0.00028870999006053887,4.490904759244752e-06,-3.845888155193964e-08,0.2263999031941744,0.9885723939566021,1741,-2.0752585093066628e-06,60.0
3,190,delithiation,10,0.1053088686212652,0.09525607920974055,-4.4154e-05,1799.980000000447,9000.0,0.03447529669999999,-0.010338991899999983,0.02207675470000548,6427017.125,0.2249788344,0.2594541311,1801,90811,9,8999.97000000067,0.2491151392,0.0007864915751727542,3.849187444128703e-06,0.22235336996094343,0.9600123065943813,1741,-0.0001063991828570445,8.697592877080885e-06,1.654713364410781e-05,0.2329291073237996,0.9944712856497603,1741,0.0008928907580297987,60.0
3,191,delithiation,10,0.09525607920974055,0.08520328979821579,-4.4154e-05,1799.980000000447,9000.0,0.05576357249999997,-0.010027140399999968,0.02207675470000548,6437817.125,0.251399219,0.3071627915,1801,90811,9,8999.97000000067,0.2971356511,0.0014783951390206654,6.44375307994035e-06,0.23955967277015514,0.9680198445037762,1741,-0.00012656617168331662,3.156458854733381e-06,2.9743290613113384e-05,0.2585694442868897,0.9997922022575422,1741,0.001604961310703982,60.0
3,192,delithiation,10,0.08520328979821579,0.07515047761912885,-4.41541e-05,1799.980000000447,9000.0,0.07107037310000003,-0.011293947700000029,0.022076804699449927,6448617.125,0.2994851172,0.3705554903,1801,90811,9,8999.97000000067,0.3592615426,0.0019141246472175908,8.498354473016914e-06,0.28287155265374453,0.9668570543182191,1741,-0.0002022115190226612,4.272625621303413e-06,3.9220136465406115e-05,0.30793824223966176,0.9997731447306452,1741,0.002116336166240252,60.0
