dataset,cell,window,chemistry,model,parameter_set,parameter_match_grade,parameter_match_level,protocol,c_rate,initial_state_value,time_s,elapsed_fraction,q_fraction,current_A,abs_current_A,dI_dt_A_s,abs_dI_dt_A_s,voltage_exp_V,voltage_sim_V,residual_mV,abs_residual_mV
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2340.0,0.06502667892907543,0.0650267690543799,0.499733,0.499733,-5.100000000000475e-06,5.100000000000475e-06,4.0732,4.083115677306637,9.915677306636894,9.915677306636894
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2370.0,0.06586035429996101,0.06586034317578278,0.499886,0.499886,5.100000000000475e-06,5.100000000000475e-06,4.0725,4.082750145191128,10.250145191128546,10.250145191128546
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2400.0,0.0666940296708466,0.06669411738698915,0.500038,0.500038,5.066666666666183e-06,5.066666666666183e-06,4.0722,4.082394600611258,10.194600611258764,10.194600611258764
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2430.0,0.06752770504173218,0.06752769150839202,0.500191,0.500191,5.1000000000023246e-06,5.1000000000023246e-06,4.0717,4.082049413202283,10.349413202282776,10.349413202282776
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2460.0,0.06836138041261776,0.0683614657195984,0.500038,0.500038,-5.1000000000023246e-06,5.1000000000023246e-06,4.0716,4.081726833239953,10.126833239953115,10.126833239953115
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2490.0,0.06919505578350335,0.06919503984100127,0.500191,0.500191,5.1000000000023246e-06,5.1000000000023246e-06,4.071,4.081403689256758,10.403689256758497,10.403689256758497
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2520.0,0.07002873115438893,0.07002881405220765,0.500038,0.500038,-5.1000000000023246e-06,5.1000000000023246e-06,4.0706,4.081101965227092,10.501965227092569,10.501965227092569
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2550.0,0.07086240652527451,0.07086238817361051,0.499886,0.499886,-5.066666666666183e-06,5.066666666666183e-06,4.0702,4.080811073237162,10.611073237162039,10.611073237162039
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2580.0,0.0716960818961601,0.0716961623848169,0.500191,0.500191,1.0166666666668507e-05,1.0166666666668507e-05,4.0697,4.080512120197738,10.812120197737585,10.812120197737585
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2610.0,0.07252975726704568,0.07252973650621976,0.500038,0.500038,-5.1000000000023246e-06,5.1000000000023246e-06,4.0694,4.080238750034171,10.83875003417134,10.83875003417134
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2640.0,0.07336343263793126,0.07336351071742614,0.500038,0.500038,0.0,0.0,4.0691,4.07996959137755,10.869591377550059,10.869591377550059
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2670.0,0.07419710800881685,0.07419708483882902,0.49958,0.49958,-1.526666666666528e-05,1.526666666666528e-05,4.0688,4.079726933713429,10.926933713428788,10.926933713428788
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2700.0,0.07503078337970243,0.07503085905003538,0.499886,0.499886,1.01999999999991e-05,1.01999999999991e-05,4.0684,4.079464696852565,11.06469685256517,11.06469685256517
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2730.0,0.075864458750588,0.07586443317143826,0.500191,0.500191,1.0166666666668507e-05,1.0166666666668507e-05,4.0681,4.079208302976683,11.108302976682971,11.108302976682971
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2760.0,0.07669813412147358,0.07669820738264464,0.499886,0.499886,-1.0166666666668507e-05,1.0166666666668507e-05,4.0677,4.078982531581807,11.282531581806587,11.282531581806587
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2790.0,0.07753180949235917,0.0775317815040475,0.500191,0.500191,1.0166666666668507e-05,1.0166666666668507e-05,4.0673,4.07874260201497,11.44260201497005,11.44260201497005
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2820.0,0.07836548486324475,0.07836555571525389,0.499733,0.499733,-1.526666666666898e-05,1.526666666666898e-05,4.0668,4.078537801331731,11.737801331730857,11.737801331730857
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2850.0,0.07919916023413033,0.07919912983665676,0.500191,0.500191,1.526666666666898e-05,1.526666666666898e-05,4.0667,4.078306887914292,11.606887914291875,11.606887914291875
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2880.0,0.08003283560501592,0.08003290404786313,0.500496,0.500496,1.0166666666666657e-05,1.0166666666666657e-05,4.0661,4.078085881655385,11.985881655385278,11.985881655385278
chen2020,02,chen2020/02/C0p1,NMC_Graphite,SPMe,Chen2020,A,exact,CC,0.1,,2910.0,0.0808665109759015,0.08086647816926601,0.500038,0.500038,-1.526666666666898e-05,1.526666666666898e-05,4.0661,4.077900033695746,11.80003369574667,11.80003369574667
