Time [s],Voltage [V],Current [mA],Capacity [mAh],Temperature [K]
572192.890421181,3.5538237,-0.6879670722610184,2.791827769757774,298.15
572233.1104253754,3.5487816,-0.6879661379101633,2.799513881133431,298.15
572271.0244293306,3.5437791,-0.6879661412332312,2.806759311966698,298.15
572305.188432894,3.5387766,-0.6879672119069824,2.813288121488658,298.15
572336.4984361599,3.5337741,-0.6879668327910149,2.819271522539093,298.15
572365.6724392027,3.5287323,-0.6879683708143315,2.824846742356718,298.15
572393.4384420991,3.5237298,-0.6879687160335329,2.830152892735071,298.15
572419.0504447706,3.5187273,-0.6879687159379322,2.83504740845465,298.15
572442.8884472577,3.5137248,-0.6879659426495234,2.839602890080181,298.15
572465.378449603,3.5087225,-0.6879674885054577,2.843900776310729,298.15
572486.3264517887,3.5036805,-0.6879671145747389,2.847903980927335,298.15
572506.3904538816,3.498678,-0.6879674854646867,2.851738253446288,298.15
572525.3124558548,3.4936755,-0.6879684018070882,2.855354292184214,298.15
572542.9304576926,3.488673,-0.6879668505633478,2.858721125861308,298.15
572559.7044594418,3.4836311,-0.687968160748874,2.861926675620146,298.15
572575.8024611212,3.4786286,-0.6879681321696871,2.865003040105436,298.15
572590.9064626954,3.4736261,-0.6879678239765,2.867889447632201,298.15
572605.4864642173,3.4685843,-0.6879664989757904,2.870675712243882,298.15
572619.286465656,3.4635818,-0.6879678036949649,2.873312922432986,298.15
572632.5224670377,3.4585793,-0.6879661450178755,2.875842344890204,298.15
572645.102468349,3.4535768,-0.68796688665963,2.87824640720586,298.15
572657.3944696318,3.4485743,-0.6879667267894424,2.880595431619254,298.15
572669.1464708578,3.4435718,-0.6879672467033505,2.882841262709996,298.15
572680.7324720658,3.4385693,-0.6879662253628681,2.885055367576149,298.15
572691.4784731865,3.433567,-0.6879672767039899,2.887108950111271,298.15
572701.8804742722,3.4285645,-0.6879680560723646,2.889096795796322,298.15
572712.1264753409,3.423562,-0.6879671012198205,2.89105482681142,298.15
572722.0844763797,3.4185596,-0.6879673368342715,2.892957821104428,298.15
572731.5504773669,3.4135571,-0.687965565327975,2.894766788526808,298.15
572740.766478328,3.4085546,-0.6879670003504087,2.89652798423138,298.15
572749.6264792525,3.4035521,-0.6879666663047658,2.898221146814559,298.15
572758.4164801687,3.3985496,-0.6879686150042266,2.899900937024621,298.15
572766.7964810431,3.3935471,-0.6879682247671858,2.901502374337151,298.15
572774.852481883,3.3885446,-0.6879665985771439,2.90304189086381,298.15
572782.8104827141,3.3835421,-0.6879670448866089,2.904562680395743,298.15
572790.6524835322,3.3785002,-0.6879690306004075,2.906061306423744,298.15
572798.1764843166,3.3734977,-0.6879669388779096,2.907499157475896,298.15
572805.5124850823,3.3684952,-0.6879683920871408,2.908901084323427,298.15
572812.7404858358,3.3634927,-0.6879687423911651,2.910282372820213,298.15
572819.6604865566,3.3584902,-0.6879723768245798,2.911604808748962,298.15
572826.454487266,3.3534877,-0.687972987698055,2.912903166795209,298.15
572833.1144879609,3.3484459,-0.6879740760050937,2.914175918968619,298.15
572839.6424886417,3.3433645,-0.6879714467622092,2.915423440655504,298.15
572846.0724893128,3.3383622,-0.6879732135016258,2.916652237384552,298.15
572852.204489952,3.3333597,-0.687973604561619,2.917824085879791,298.15
572858.2164905798,3.3283572,-0.6879734996111403,2.918973001744119,298.15
572864.0724911904,3.3233547,-0.6879742671757125,2.920092106668752,298.15
572869.938491802,3.3183522,-0.6879729523611404,2.921213120490778,298.15
572875.5284923855,3.3133497,-0.6879725574639506,2.922281389101248,298.15
572881.0844929647,3.3083079,-0.687972931995237,2.923343160770305,298.15
572886.6144935414,3.3033054,-0.6879748357677061,2.924399966669912,298.15
572891.9404940968,3.2983029,-0.687973681326196,2.925417785616816,298.15
572897.0604946313,3.2933004,-0.6879737948199325,2.926396237338253,298.15
572902.1524951626,3.2882979,-0.687974573562665,2.927369339253275,298.15
572907.1244956809,3.2832954,-0.6879732341831065,2.92831950683021,298.15
572911.9544961844,3.2782929,-0.687976536382592,2.929242542112736,298.15
572916.7284966819,3.2732904,-0.6879724046567012,2.93015487005777,298.15
572921.4304971732,3.2682879,-0.687974304594975,2.931053441035054,298.15
572925.9784976467,3.2632854,-0.6879760150960608,2.931922584157952,298.15
572930.4724981152,3.2582436,-0.6879737060649191,2.932781404757203,298.15
572934.9184985794,3.2532017,-0.68797557743506,2.933631054684058,298.15
572939.2604990331,3.2481992,-0.6879718419389254,2.934460825253462,298.15
572943.4964994749,3.2431967,-0.6879751989255165,2.935270342821944,298.15
572947.6324999062,3.2381942,-0.6879744994187127,2.936060749162603,298.15
572951.6545003261,3.2331917,-0.687974238432851,2.936829369350342,298.15
572955.6445007417,3.2281892,-0.6879745200925851,2.937591874522866,298.15
572959.5605011506,3.2231867,-0.687972271943264,2.93834023555014,298.15
